#{"t_start": 1718039271.8172429, "env_id": null}
r,l,t
-71.74459,43,0.776674
-70.82968,44,0.800469
-69.5047,46,0.846287
-66.98526,54,1.024221
-63.71279,55,1.047787
-57.320057,57,1.094017
-53.579933,65,1.273384
-53.46827,71,1.408186
-46.766987,76,1.531472
-30.007591,85,1.734885
-42.49973,87,1.783771
-24.141434,91,1.875343
-71.16077,45,2.072007
-73.371475,57,2.096613
-70.59469,58,2.096676
-57.55949,57,2.142454
-65.08248,52,2.209947
-77.75602,34,2.300486
-69.33858,47,2.347417
-78.84694,31,2.840676
-40.794277,72,3.046102
-38.457085,92,3.190215
-66.52005,50,3.240025
-74.58185,61,3.263652
-55.86418,67,3.31488
-69.408005,45,3.337583
-69.77421,32,3.587647
-42.33898,83,3.631507
-49.579224,65,3.698669
-83.48203,26,3.792194
-55.914253,66,3.865043
-81.592896,28,3.890229
-44.67612,82,3.960115
-36.52319,96,4.299447
-74.86535,38,4.503996
-74.26932,40,4.504059
-56.221592,65,4.547921
-73.51281,41,4.721893
-68.93632,44,4.939961
-65.081924,52,5.029383
-42.423046,85,5.183039
-16.48182,88,5.308571
-50.018375,77,5.594338
-59.650276,54,5.730251
-60.58332,91,5.730317
-45.083454,72,5.880014
-48.117905,67,5.972502
-73.12414,41,6.08258
-65.387276,53,6.196272
25.778849,136,6.359431
-51.954556,72,6.549323
-31.881458,88,6.685586
-71.45109,42,6.685649
-49.811874,101,6.757473
-68.902504,46,6.781467
-40.193104,71,6.913425
-70.5224,44,6.983029
-45.9156,78,7.366057
-21.934156,60,7.569404
-76.78165,34,7.758831
-31.03365,87,7.874456
-64.907326,53,7.982835
-44.36946,65,8.030167
-1.6102592,88,8.097684
-7.7669263,84,8.284327
-51.922493,73,8.354342
-46.949448,73,8.354401
-51.520092,72,8.397356
-76.61364,35,8.668546
-40.18804,89,8.944159
-77.9584,55,9.011274
-80.92726,28,9.035939
-48.963608,77,9.133489
-31.534908,72,9.226881
-63.296005,55,9.252179
-60.480476,51,9.27624
-60.602684,59,9.387692
-54.02766,51,9.841084
-72.30492,37,9.981323
-74.1309,39,10.118542
-39.823776,79,10.167341
-45.509743,49,10.167405
-52.846764,88,10.302811
-56.70066,60,10.326366
-67.80311,48,10.486871
-50.511845,65,10.510591
-61.798435,58,10.578451
-81.63349,28,10.624302
-77.00612,34,10.941073
-64.56078,50,10.987607
-18.798767,118,11.055744
-48.07778,79,11.080322
-75.89303,36,11.123131
-63.24143,54,11.354076
-46.329136,56,11.446781
-63.062763,54,11.560867
-80.467705,38,11.819561
-50.355873,57,11.934718
-56.402847,37,11.981387
-52.476498,71,12.122806
-72.087234,43,12.356761
-45.580997,59,12.356822
-62.71533,56,12.379995
-2.0903573,88,12.537888
-42.03834,86,12.561837
-54.060318,69,12.652407
-54.015053,61,12.862566
-82.94219,44,13.0013
-61.1945,56,13.117574
-41.915314,70,13.183871
-67.32803,49,13.250758
-50.124702,69,13.521635
-38.18806,58,13.68349
-58.25491,63,13.967267
-43.410572,71,13.991403
-59.38269,64,14.103948
-55.77604,45,14.126673
-46.863586,80,14.17323
-84.0145,44,14.17329
-61.640656,57,14.533687
-63.890163,50,14.646015
-49.51991,84,14.759476
-44.540195,81,14.827605
-72.075264,41,15.108263
-25.5253,113,15.132501
-53.775066,43,15.154367
-63.91974,53,15.200246
-48.835014,73,15.333009
-54.52505,62,15.518393
-55.337414,69,15.539255
-77.437805,34,16.112142
-51.9143,71,16.158078
-33.419014,95,16.294215
-68.36392,48,16.294276
-64.30457,54,16.342977
-54.68314,69,16.343041
-46.364975,74,16.343054
-53.34473,70,16.439717
-49.77394,69,16.710917
-76.38922,35,16.911215
-90.81773,37,17.004472
-47.784576,67,17.053632
-74.1019,39,17.188281
-53.569183,43,17.326983
-49.872032,85,17.494824
-23.826088,102,17.494887
-73.5213,42,17.891979
-48.334507,70,17.915437
-47.39846,76,18.103727
-66.904175,48,18.125717
-71.294975,42,18.172845
-49.207264,78,18.23491
-71.36727,44,18.347775
-71.08591,39,18.397024
-71.364494,80,18.552894
-54.81801,67,18.597709
-9.570109,98,18.597771
-79.93696,33,18.915498
-80.74091,38,19.097083
-75.68915,37,19.188421
-69.30152,48,19.188486
-52.598858,57,19.210514
-62.876877,53,19.319436
-17.359428,92,19.579414
-81.44211,26,19.670582
-64.758194,49,19.694711
-47.82484,54,19.760941
-56.839947,63,19.808388
-36.67773,85,19.808451
-66.88527,49,20.284279
-62.559532,51,20.353047
-28.235823,79,20.375906
-55.451077,67,20.422442
-68.6386,47,20.647602
-46.20357,70,20.903813
-62.77609,54,20.903878
-61.909897,57,21.055455
-63.361897,56,21.077008
-45.848503,88,21.165633
-76.77174,47,21.343536
-53.78412,71,21.40677
-26.832226,80,21.50159
-57.216602,59,21.711679
-48.6979,57,21.71174
-72.5726,41,21.828319
-68.818535,54,21.878112
-49.774124,72,21.994314
-62.829292,57,22.377787
-55.842293,59,22.3983
-60.81326,60,22.53583
-53.297497,65,22.832998
-73.29989,39,22.87954
-55.22695,66,22.92381
-29.32348,98,23.127642
-75.61858,36,23.224703
-54.153297,65,23.319668
-28.288332,75,23.430825
-38.21571,91,23.597884
-46.385834,84,23.801769
-59.665646,58,23.871409
-69.496376,43,23.871472
-52.76201,69,23.966751
-3.3686337,103,24.075791
-63.937466,52,24.122457
-69.09478,43,24.298906
-60.461525,60,24.499252
-42.752983,77,24.594475
-63.03999,57,24.732011
-50.51175,52,24.778719
-41.92723,85,25.169801
-57.152164,62,25.210638
-77.13194,34,25.282402
-44.076275,68,25.418368
-49.132935,69,25.444241
-71.02525,43,25.712029
-31.16388,76,25.844693
-48.78912,76,26.022619
-62.7119,54,26.388745
-64.361595,51,26.433547
-5.8905983,104,26.433619
-14.103894,111,26.482393
-67.51651,50,26.580633
-36.65837,90,26.651038
-55.53549,64,26.677632
-65.20066,52,27.049
-63.97047,47,27.117457
-72.47715,43,27.398419
-15.296765,116,27.443358
-44.944935,98,27.668911
-66.30637,49,27.718782
-69.22772,46,27.74246
-23.54457,90,27.788868
-66.95261,50,27.811562
-59.163483,60,27.835128
-52.42902,72,28.148365
-64.15828,58,28.452413
-62.100883,55,29.040992
-47.854256,75,29.378116
-48.075573,73,29.496538
-36.15632,93,29.521194
-21.069458,103,29.787618
-19.606787,147,29.812554
11.703089,95,29.875429
-47.053772,77,29.897584
-44.41589,78,30.216628
-18.304787,120,30.470156
-46.41386,77,30.801525
23.848522,135,30.896672
24.24912,174,31.029728
-70.92545,41,31.167163
-40.625874,80,31.21333
-45.6,79,31.592924
-38.50442,92,31.912542
-23.9636,98,32.144792
-22.648314,118,32.212721
18.21797,129,32.440114
-56.558033,64,32.670752
-30.278206,99,33.159726
-16.843266,118,33.184899
-37.971893,89,33.208141
-17.535734,110,34.106383
67.44551,195,34.331419
34.776497,168,34.632514
17.462196,161,34.703949
-3.9698176,125,35.004639
-0.35977784,146,35.259835
-40.94986,91,35.259927
-23.068062,130,35.418181
-56.66832,51,35.51386
-34.40513,79,37.087665
-21.049814,105,37.137733
76.26379,222,37.332615
-9.198424,118,37.379003
72.96903,215,37.639423
-13.630774,115,37.684403
-4.2081656,101,37.869924
-58.117386,57,38.414836
75.62799,237,38.623081
87.53389,249,38.977973
53.815544,198,39.885674
198.95277,250,39.937817
-51.433125,57,39.984122
-13.384385,98,40.1624
-10.730913,123,40.212734
-57.523678,56,40.282934
-2.8887897,132,40.469339
189.23015,250,41.24732
67.18718,192,41.616828
32.41301,169,41.616893
185.19963,250,1615.745954
-30.590645,89,1616.074398
49.19062,168,1616.340019
214.34935,250,1616.829611
24.094767,155,1617.382647
-59.081306,56,1617.508501
194.38625,250,1618.196278
-15.70892,99,1618.26374
36.368237,179,1618.287846
247.83687,250,1618.287907
106.02855,245,1618.35026
237.09473,250,1618.532706
203.43896,250,1618.611346
204.16711,250,1618.801987
-93.89683,131,1619.395565
214.51921,250,1622.59069
304.80402,250,1623.164996
219.75455,250,1623.300789
223.78505,250,1624.304945
234.88547,250,1624.390408
258.9563,250,1624.418634
254.4553,250,1624.418699
243.04225,250,1624.496686
214.32533,250,1624.691171
251.38866,250,1624.774511
231.95561,250,1624.977141
201.40468,250,1625.604379
10.085811,107,1627.337302
26.98865,140,1627.780874
65.37588,169,1628.576461
238.1164,250,1628.911056
298.22208,250,1629.482594
248.39397,250,1629.617989
