#{"t_start": 1718042814.1731634, "env_id": null}
r,l,t
-82.17198,26,0.443251
-81.417564,28,0.498188
-83.228775,30,0.550963
-75.636826,36,0.6986
-88.22888,38,0.748296
-70.04879,46,0.952221
-62.118515,55,1.177372
-48.637543,59,1.27243
-57.93636,64,1.403107
-53.20749,66,1.456816
-54.572903,67,1.483996
-73.526985,40,1.508518
-66.9676,46,1.608645
-87.828316,36,1.608706
-75.27968,36,1.661345
-48.561047,75,1.686936
-71.49187,44,2.514612
-76.78899,35,2.542699
-66.01127,37,2.614309
-60.01849,53,2.614368
-46.55258,84,2.668827
-64.550026,52,2.789279
-46.662086,65,2.815173
-46.194157,74,2.815236
-52.035595,60,2.975077
-61.354362,59,2.999352
-77.793915,33,3.380846
-66.18684,50,3.77218
-74.22518,49,4.053309
-61.855694,49,4.053371
-57.55611,63,4.201246
-62.220978,57,4.228326
-30.616343,107,4.305859
-52.5948,65,4.305922
-62.03623,56,4.406714
-46.37056,73,4.4591
-40.05228,131,4.91308
-46.794876,82,5.041043
-67.47414,49,5.295275
-73.85756,40,5.32641
-48.116413,80,5.399727
-57.6179,66,5.450201
-73.6317,51,5.501652
-52.32208,51,5.533673
-66.90424,51,5.605971
-59.2806,61,5.606034
-61.32775,56,5.878315
-59.970535,62,5.981517
-79.77856,31,6.236815
-75.455025,39,6.387803
-92.56504,37,6.462543
-75.38225,50,6.559511
-71.07501,44,6.607008
-59.58735,63,6.631703
-66.50347,53,6.660199
-69.565,39,6.957677
-69.23048,56,7.00901
-18.329758,83,7.009071
-64.44745,53,7.213313
-56.812386,64,7.213377
-77.15881,35,7.341532
-71.671165,42,7.442285
-74.41857,38,7.574864
-71.48906,41,7.674293
-58.539146,59,7.728769
-71.82204,42,8.069104
-29.4863,67,8.245731
-79.57166,34,8.424929
-63.455544,53,8.564241
-45.639866,75,8.564304
-50.000656,65,8.61239
-51.617447,60,8.866492
-44.829605,70,9.221291
-36.914295,90,9.295988
-48.69665,67,9.373906
-57.334167,66,9.400532
-36.732185,94,9.613652
-51.102947,55,9.664488
-56.726925,46,9.741304
-63.385246,55,9.843442
-62.72429,51,9.867771
-81.526344,28,10.020591
-55.873055,56,10.047114
-42.683426,83,10.202377
-69.91799,45,10.374763
-60.203796,59,10.374826
-65.03055,48,10.8218
-69.08462,47,10.926273
-63.43342,57,11.288785
-47.54446,77,11.337563
-73.752106,51,11.337624
-50.712746,67,11.364311
-63.795647,49,11.437258
-44.670677,84,11.549088
-52.376717,71,11.83345
-47.106853,82,11.960262
-64.05483,54,12.328109
-70.06766,45,12.502462
-43.840973,85,12.549918
-49.583675,92,12.736315
-76.48104,36,12.762137
-59.41808,56,12.788477
-58.24621,59,12.817491
-52.779346,63,12.987704
-78.513725,32,13.144077
-42.530216,76,13.497394
-56.631187,62,13.549453
-77.274155,33,13.575237
-28.08202,109,13.637882
-39.18787,90,13.763018
-69.955475,54,13.89696
-70.727486,45,13.922558
-75.04313,38,13.986649
-67.17203,48,14.065324
-67.5497,47,14.364217
-46.51421,82,14.653789
-62.265636,46,14.691791
-45.00527,81,14.88429
-72.60749,40,14.961226
-64.05818,37,15.016394
-42.620712,65,15.24222
-64.7025,51,15.292316
-50.007957,75,15.568907
-49.40318,70,15.56897
-61.333923,35,15.596509
-47.88833,69,15.665609
-65.20102,52,15.691929
-2.2254167,91,15.913485
-70.036835,48,16.097727
-70.326,40,16.25248
-71.96851,65,16.33766
-67.24552,46,16.725063
-54.701855,68,16.725126
-68.01067,48,16.801416
-77.30401,44,17.03048
-54.054043,71,17.079373
-75.88005,35,17.215426
-11.090595,90,17.240195
-59.24657,62,17.263691
-27.459803,69,17.313198
-50.505226,67,17.363106
-78.6172,32,17.544322
-61.2922,58,17.570695
-57.144943,55,17.647473
-67.1334,47,18.015701
-75.88534,37,18.174662
-61.276855,57,18.197237
-70.89709,43,18.426751
-69.64827,45,18.426819
-59.493793,58,18.571276
-60.191383,60,18.767286
-68.66068,49,18.793767
-53.16378,70,18.81981
-79.87214,53,18.999858
-149.16199,56,19.421317
-72.221275,42,19.481634
-73.51809,40,19.584553
-34.81893,91,19.689494
-59.86955,61,19.713632
-64.13731,63,19.791784
-72.08105,39,19.8215
-32.649937,96,20.032633
-52.167343,71,20.245379
-76.92851,35,20.344052
-59.353592,62,20.397716
-81.17346,28,20.533502
-46.679977,75,20.705377
-30.881538,72,20.863508
-59.968105,57,20.96328
-73.58984,40,21.065923
-50.874557,61,21.277391
-28.44367,75,21.656442
-40.210747,90,21.922877
-69.86009,44,21.998554
-51.057175,72,22.203776
-59.14678,61,22.288636
-47.02613,81,22.3426
-64.58881,54,22.37049
-48.968693,54,22.463663
-42.74034,83,22.539529
-66.22208,82,22.637696
-66.98751,63,22.895652
-83.279106,40,22.943772
-11.700858,129,23.145783
-70.68778,42,23.278747
-84.852745,30,23.306099
-54.88007,66,23.358551
-72.339325,42,23.358612
-48.385513,62,23.595476
-60.090263,55,23.749459
-59.41362,57,23.826673
-68.12211,47,23.852806
-53.988453,68,24.214006
-80.503426,30,24.59776
-53.469917,68,24.653522
-61.6735,55,24.728315
-66.12216,45,24.900216
-47.687492,79,24.977082
-51.703156,66,25.063107
-51.692577,57,25.063181
-52.60637,71,25.112773
-39.050373,82,25.258487
-54.85126,49,25.463446
-54.53742,66,25.537325
-67.6798,45,25.738851
-76.892944,34,25.763239
-31.248823,98,25.863913
-76.080345,36,25.892978
-77.282326,34,25.918173
-72.18279,53,26.402087
-50.13183,72,26.560783
-59.037792,60,26.635554
-79.75744,30,26.681863
-62.909885,55,26.865379
-54.049267,63,26.865442
-37.028316,95,27.078679
-51.239185,62,27.130659
-83.24449,26,27.236339
-60.862183,58,27.26262
-56.15878,65,27.531456
-43.24012,48,27.635692
-50.41022,69,27.663254
-46.83119,76,27.687728
-51.060513,61,28.233921
-61.035824,57,28.512693
-52.00271,72,28.69681
-58.211246,63,28.722337
-60.526527,60,28.772912
-48.864414,63,28.820626
-45.782997,64,29.144186
-58.557285,62,29.218683
-29.960482,65,29.27681
-19.610817,108,29.376059
-33.871105,100,29.406854
-63.625225,50,29.510386
-44.719467,59,30.027472
-25.601625,96,30.127363
-77.199745,35,30.290449
-71.1473,43,30.343833
-58.521168,45,30.669616
-40.70165,86,30.961651
-52.24014,68,31.01295
-32.98712,88,31.063413
-42.150627,73,31.274309
-32.176094,101,31.274402
-49.18155,89,31.420293
-59.677696,58,31.496736
-22.612799,113,31.600076
-54.303127,52,31.654409
-58.570137,60,32.191556
-49.80154,75,32.191617
-40.15243,55,32.362544
-79.03899,47,32.470474
-70.68097,44,32.7382
-60.206223,59,32.935395
-46.29644,73,32.935459
-55.10996,66,32.962284
-42.827194,76,32.962347
-2.2134523,119,33.156869
-41.585564,70,33.287674
-70.098564,43,33.470331
-64.181564,52,33.813222
-41.011177,85,33.84269
-41.19703,78,34.207108
-43.25944,80,34.270001
-63.323746,52,34.299476
-56.457287,63,34.374181
-64.06247,52,34.537452
-52.59072,67,34.681245
-69.85975,41,34.917079
-56.541195,65,34.993997
-56.719147,62,35.08972
-45.998997,87,35.221671
-25.823563,88,35.249388
-71.80611,40,35.328309
-57.18288,62,35.427792
-75.53452,44,35.503274
-60.065216,57,35.677179
-71.38741,42,35.753909
-51.74136,69,36.290833
-71.353584,42,36.319674
-26.01473,82,36.366809
-58.36285,59,36.419922
-72.85831,38,36.647442
-57.640198,63,36.931385
-51.328068,53,37.119905
-41.275368,83,37.119968
-46.630924,70,37.227654
-65.36123,38,37.278073
-69.78009,44,37.504389
-34.064575,97,37.585707
-66.242134,50,37.609103
-4.1275716,115,38.169415
-51.944054,72,38.282141
-69.53365,43,38.333656
-11.195932,117,38.513729
-51.993088,53,38.96589
-39.928486,89,39.379482
-46.508747,79,39.501857
-58.118275,90,39.550674
-37.05957,91,39.87037
-53.973347,61,40.031778
-40.4767,82,40.331737
-55.56209,58,40.955047
65.27259,176,41.105917
-53.700256,61,41.41798
17.638313,141,41.722324
-29.870106,97,42.006484
-23.061146,104,42.671893
34.91268,179,42.851223
32.757225,144,43.028679
200.04124,250,43.27486
177.49188,250,43.451029
1.2105924,137,43.795376
-10.9525,119,44.141823
-25.427773,92,44.345712
195.73674,250,45.314683
-31.792427,91,45.616088
14.671094,153,45.642758
18.345276,149,46.681901
59.83125,159,46.755343
183.03961,250,47.358622
