#{"t_start": 1718037505.7752743, "env_id": null}
r,l,t
-79.71536,30,27.620247
-19.764687,98,27.700156
-42.112305,87,27.737501
-40.900227,81,28.129709
-36.05089,82,28.150577
-35.620182,77,28.172793
-37.85969,91,28.370548
-28.297125,98,28.546025
-69.77464,44,28.566761
-40.609684,71,28.809408
-29.74147,73,29.06421
-63.241955,53,29.415153
-65.92774,49,29.512963
-47.572205,76,29.667413
13.748462,158,29.730455
3.0985105,104,29.789878
-42.69901,84,29.81323
-15.480362,124,30.053907
54.478905,180,30.939761
-26.001785,108,31.192841
-10.807733,139,31.307694
-35.09958,77,31.328516
-33.783897,91,31.463526
58.568653,171,31.504172
-27.137709,103,31.544345
21.786781,157,31.899253
-6.9277124,116,32.075654
-9.158433,103,32.075719
43.66589,156,32.80007
218.13918,250,34.306195
79.27815,205,35.481101
162.77666,233,35.502707
89.75525,218,35.81539
323.37302,250,36.093048
192.30338,250,36.212475
221.08127,250,36.233127
231.24866,250,36.421622
245.60991,250,36.819512
229.08958,250,37.000938
235.17697,250,37.000999
236.94673,250,37.727996
27.382307,134,38.141916
8.380739,103,38.282286
32.724827,149,39.053427
231.02014,250,39.270823
103.950424,186,39.506721
85.38187,180,39.982175
239.93991,250,40.450177
241.58687,250,41.161723
277.61118,250,41.751874
261.6011,250,41.929868
260.22946,250,41.929932
28.123623,153,42.068502
135.58101,210,42.290366
263.4309,250,42.664897
53.248367,161,42.685076
247.39026,250,43.217605
256.8859,250,44.207658
247.80751,250,44.914792
257.66446,250,45.390456
259.7313,250,46.096523
108.16284,222,46.315392
253.70728,250,46.686775
258.91995,250,46.866553
279.2669,250,47.002549
232.32559,250,47.225721
220.40211,250,47.606204
262.51385,250,47.63077
253.4928,250,48.162586
273.58173,250,49.149492
251.60788,250,49.869607
291.0338,250,50.338827
264.85406,250,51.055434
300.65387,250,51.280266
335.30856,250,51.661392
293.7501,250,51.843861
292.3729,250,51.989498
256.9874,250,52.211048
114.50737,231,52.234356
263.37952,250,52.599755
305.35217,250,53.149367
9.238292,99,53.266744
269.83743,250,54.129125
32.933052,115,54.265691
22.458994,107,54.699622
312.48602,250,54.83912
283.16486,250,55.31279
27.688248,105,55.332484
3.0061111,88,55.861907
300.37936,250,56.01875
310.84573,250,56.606959
332.23514,250,56.791147
190.60985,245,57.078768
-0.93879706,91,57.140544
368.55988,250,57.164758
355.4333,250,58.098129
-3.5026038,76,58.590667
12.969013,87,58.883617
329.69876,250,59.223365
330.0032,250,59.657957
421.23737,250,59.80057
280.80634,250,60.28575
-60.49663,43,60.521082
327.11755,250,60.832711
-31.522913,57,60.931648
328.20694,250,60.992874
33.032787,118,61.226597
16.56074,108,61.361838
-22.542576,66,61.583295
302.1593,250,61.583357
298.54575,250,61.762376
100.10699,166,61.879488
324.71826,250,62.087159
-33.21304,61,62.128516
-13.192033,82,62.128574
-24.14394,83,62.59592
305.34055,250,63.025947
-23.232397,80,63.692738
-24.42658,88,63.809386
54.041077,166,64.087027
5.7668705,114,64.107499
46.032944,136,64.419872
15.596271,118,64.933702
94.64241,189,65.070832
7.0772815,115,65.284952
-35.36505,74,65.534128
-56.046314,47,65.992008
234.78824,250,66.132112
8.825905,124,66.248598
262.34015,250,66.491001
314.59796,250,66.491064
247.27159,250,67.037069
-13.442339,84,67.196499
-17.03852,78,67.53284
-54.0702,54,67.553656
44.030403,133,67.553715
286.89514,250,68.60644
37.284454,120,68.606523
-43.780018,65,68.819642
-10.816719,75,69.022947
298.10617,250,69.023009
261.57584,250,69.340199
96.75927,163,69.696224
-14.107829,63,69.850057
120.31542,190,69.872504
-24.74341,71,70.010221
256.91904,250,70.207233
-33.92111,71,70.227995
96.34392,200,71.133169
3.836024,79,71.244556
-11.480942,80,71.784764
364.65796,250,71.965345
51.163376,145,72.206585
335.89774,250,72.464302
111.85343,199,72.954398
-4.012948,94,73.836138
130.53319,184,73.877734
283.90695,250,73.980504
119.4026,176,74.634048
168.01909,241,74.654437
357.1344,250,74.815615
38.645317,135,74.8998
250.39287,250,74.982881
72.111015,174,75.922483
337.207,250,76.227166
-1.6556344,82,76.527328
5.970908,88,76.71758
353.61942,250,76.760458
96.32599,149,76.83681
277.2257,250,77.919874
325.95123,250,78.792075
246.8149,250,78.932259
345.8313,250,79.570717
275.26834,250,79.595225
260.88943,250,79.749804
93.56776,160,79.869576
74.04618,176,79.988399
281.42007,250,80.85032
317.2519,250,81.150606
163.7834,238,81.527452
372.14557,250,81.688923
255.0126,250,82.858711
261.48755,250,83.725494
302.73242,250,83.861912
280.57996,250,84.512528
292.61237,250,84.532327
323.12384,250,84.692654
293.20398,250,84.813205
300.24103,250,84.93202
269.75223,250,85.81213
274.24698,250,86.116089
282.83093,250,86.48091
278.46555,250,86.64101
287.15756,250,87.812372
289.7039,250,88.680273
304.31824,250,88.82303
268.98965,250,89.474019
290.12955,250,89.496449
364.7336,250,89.657335
339.69196,250,89.77918
296.26254,250,89.899721
-2.2956576,85,90.375984
78.7275,137,90.529415
458.2816,250,90.770244
-10.7981205,68,90.852439
362.66483,250,91.070914
301.0134,250,91.449939
386.84265,250,91.612241
-59.488083,38,91.826779
33.157803,95,92.267597
287.11594,250,93.783264
293.79987,250,94.427066
384.90524,250,94.605984
344.50592,250,94.723878
397.49542,250,94.844734
331.34375,250,95.477931
144.6826,199,95.538159
163.5806,209,95.581753
119.672035,173,95.680912
313.59467,250,95.719333
317.77426,250,95.802684
17.573748,88,96.574214
358.93597,250,96.75029
104.817894,141,97.380059
13.498284,91,97.460899
89.58776,142,98.269942
97.72664,141,98.573557
216.39139,249,98.695308
115.366554,162,98.736862
31.272438,113,98.995928
124.88699,175,99.176419
308.73795,250,99.381679
312.23856,250,99.685812
-14.842223,62,99.94305
-47.057648,41,100.204598
102.678345,141,100.20466
13.207024,80,100.340669
351.2487,250,100.539106
9.888034,75,101.170441
331.9826,250,101.546499
72.78093,126,101.682077
38.638035,105,102.276865
394.57697,250,102.435343
104.179054,146,103.219568
358.80457,250,103.243176
-62.200253,46,103.340929
383.0599,250,103.537611
138.56593,175,103.659751
49.852055,107,103.65981
-6.107464,73,103.717116
111.60445,136,103.858934
384.77505,250,103.962533
76.92948,128,104.220132
-29.119108,57,104.367154
352.75568,250,104.902982
-7.62711,62,104.962767
-2.8231454,71,105.084668
379.04413,250,105.502205
64.07309,122,106.642145
79.84256,121,106.761411
134.28955,177,107.180459
97.305756,139,107.655489
-59.440586,36,107.893175
130.63564,156,108.059626
376.11795,250,108.219104
400.90503,250,108.319664
367.19046,250,108.523519
114.42317,161,108.705427
362.04245,250,108.842982
365.7232,250,108.939931
359.18607,250,110.046141
133.71858,177,110.165556
27.953777,95,110.206179
83.749344,136,110.360864
82.81168,130,110.643126
-31.130417,54,111.42062
154.77847,184,111.54767
146.26442,170,111.589493
341.87024,250,111.731085
118.014534,159,111.987195
181.59476,191,112.693252
44.88534,107,112.731706
-95.53578,69,112.89292
2.7689939,73,113.433851
405.19794,250,113.478178
375.43134,250,113.661566
-69.23991,102,113.765508
101.18032,134,114.119408
378.91364,250,115.020393
403.85684,250,115.145734
382.53165,250,115.187917
45.220207,112,116.334487
373.77942,250,116.568185
106.57459,147,116.681043
155.25388,174,116.943486
366.70874,250,117.694968
370.21695,250,117.734627
184.04596,206,117.754828
370.8607,250,117.892779
256.0638,239,118.179592
127.22509,165,118.401319
49.680004,116,118.620929
193.76813,209,119.156521
8.919236,74,119.196287
136.13556,165,119.948648
395.3772,250,120.133322
2.4905472,87,120.133389
131.78333,166,120.237946
88.00682,150,120.686113
-32.366875,65,121.440392
-20.145157,69,121.52001
380.61737,250,121.542133
152.5959,176,121.708138
74.73956,136,121.888857
383.32797,250,122.73999
433.9955,250,122.880812
424.9932,250,123.622792
199.36871,202,124.005985
357.76318,250,124.206864
166.31615,181,125.136036
424.4937,250,125.23862
70.0057,121,125.29917
352.78677,250,125.683495
6.435642,86,125.724591
366.3927,250,126.444173
369.04593,250,126.54911
11.264106,78,126.707727
338.6773,250,126.707793
353.0395,250,126.890124
382.09476,250,127.748863
342.85513,250,128.62707
157.78392,172,129.125541
400.31207,250,129.207183
355.80954,250,130.236253
414.69522,250,130.296497
22.135395,104,130.691373
401.83023,250,130.712754
131.74664,160,130.931581
181.93848,207,131.013912
340.73434,250,131.432612
